,,Etat des Pinces de sertissages,,,,,,,,,,,,,,"Référence : FQ111/00 
Page : 2/2"
Spécification du pince,,,Spécification du cosse,,Spécification de sertissage,,,Service maintenance,,,,,,,,
"Numéro 
Pince",Constructeur,"Référence
more","Référence 
constructeur","Référence 
TEC","Séction en 
MM","
Longueur de 
dénudage
",Valeur de traction, Valeur des essais du maintenance ,,,,,"Date de
Vérification",Affectation,Statut,Remarque
,,,39-00-0040,270614470,0.34,"3 à 3,5",≥ 39,,,,,,,,,
,,,39-00-0040,270614470,0.5,"3 à 3,3",≥ 59,,,,,,,,,
,,,39-00-0040,270614470,0.75,"3 à 3,3",≥ 88,,,,,,,,,
,,,39-00-0077,270607530,1.5,"3 à 3,3",≥ 88,,,,,,,,,cosse 270606970 -50 pieces
,,,39-00-0078,270606970,1.5,"3 à 3,3",≥ 88,90,100,89,99,102,,,,
,,,39-00-0081,270607540,1.5,"3 à 3,3",≥ 88,,,,,,,,,
,,,39-00-0082,270607030,1.5,"3 à 3,3",≥ 88,,,,,,,,,
P18,JST,WC-JWPF,SWPR-001T-P025,270599760,0.35,"3 à 3,5",≥ 36,,,,,,,,,TEC
,,,SWPR-001T-P025,270599760,0.2,"3 à 3,5",≥ 22,,,,,,,,,
,,,SWPR-001T-P025,270599760,0.13,"3 à 3,5",≥ 13,,,,,,,,,
,,,SWPR-001T-P025,270599790,0.35,"3 à 3,5",≥ 36,,,,,,,,,
,,,SWPR-001T-P025,270599790,0.2,"3 à 3,5",≥ 22,,,,,,,,,
,,,SWPR-001T-P025,270599790,0.13,"3 à 3,5",≥ 13,,,,,,,,,
P19,DEUTSCH,539 773-2/A,CAR2PC68,270609270,6,12,≥ 650,,,,,,,,,
,,,CAR2PC68,270609280,6,12,≥ 650,,,,,,,,,
,,,CAR3PC68,270567101,6,12,≥ 650,,,,,,,,,
,,,DARS24296-000A3,270611240,6,12,≥ 650,,,,,,,,,
,,,DARS24263-000A3,270611250,6,12,≥ 650,,,,,,,,,cosse -50 pieces
,,,0462-203-04141,270613240,13-16,"10,92 à 12,50",≥ 1334,,,,,,,,,
,,,0460-204-0490,270613140,13-16,"10,92 à 12,50",≥ 1330,,,,,,,,,
,,,0462-203-08141,270567074,5-6,"10,92 à 12,50",≥ 400,,,,,,,,,
,,,0462-203-08141,270567074,8,"10,92 à 12,50",≥ 556,,,,,,,,,
,,,0460-204-08141,270567046,5-6,"10,92 à 12,50",≥ 400,,,,,,,,,
,,,0460-204-08141,270567046,8,"10,92 à 12,50",≥ 556,,,,,,,,,
P20,TYCO,CAGE11851,282403-1,270567021,0.35,"3 à 3,5",≥ 60,,,,,,,,,
,,,282403-1,270567021,0.5,"3 à 3,5",≥ 70,88,79,102,74,90,,,,
,,,183035-1,270567020,0.35,"3 à 3,5",≥ 60,,,,,,,,,
,,,183035-1,270567020,0.5,"3 à 3,5",≥ 70,,,,,,,,,
,,,282404-1,270567011,0.35,"3 à 3,5",≥ 60,,,,,,,,,
,,,282404-1,270567011,0.5,"3 à 3,5",≥ 70,,,,,,,,,
,,,183036-1,270567010,0.35,"3 à 3,5",≥ 60,,,,,,,,,cosse -50 pieces
,,,183036-1,270567010,P20,"3 à 3,5",≥ 70,,,,,,,,,
,,,282110-1,923919100,0.75,"3 à 3,5",≥ 85,,,,,,,,,
,,,282110-1,923919100,1,"3 à 3,5",≥ 108,140,133,120,145,150,,,,
,,,282110-1,923919100,1.5,"3 à 3,5",≥ 150,170,130,145,133,165,,,,
,,,183025-1,923919000,0.75,"3 à 3,5",≥ 85,,,,,,,,,
    +,,,183025-1,923919000,1,"3 à 3,5",≥ 115,,,,,,,,,
P21,,,183025-1,923919000,1.5,"3 à 3,5",≥ 155,,,,,,,,,
,,,282109-1,923921000,0.75,"3 à 3,5",≥ 85,,,,,,,,,
,,,282109-1,923921000,1,"3 à 3,5",≥ 115,,,,,,,,,
,,,282109-1,923921000,1.5,"3 à 3,5",≥ 155,,,,,,,,,
,,,183024-1,923920000,0.75,"3 à 3,5",≥ 85,,,,,,,,,
,,,183024-1,923920000,1,"3 à 3,5",≥ 115,,,,,,,,,
,,,183024-1,923920000,1.5,"3 à 3,5",≥ 155,,,,,,,,,
,,,282466-1,270567128,1.5,"3,5 à 4",≥ 155,,,,,,,,,
,,,282466-1,270567128,2.5,"3,5 à 4",≥ 230,,,,,,,,,
,,,282465-1,270599190,1.5,"3,5 à 4",≥ 155,,,,,,,,,
,,,282465-1,270599190,2.5,"3,5 à 4",≥ 230,,,,,,,,,
P22,DMC,S16SCML1,82913607A,270606840,6,"6,5 - 7,5",≥360,,,,,,,,,cosse -50 pieces
P23,DMC,1864-28100,193990-2,270606810,6,9.5,≥360,,,,,,,,,cosse 270606810- 50 pieces
,,,193991-4,270606740,6,9.5,≥360,,,,,,,,,
P24,SOURIAU,1864-28100,SC16M-1S31,270567111,0.8,6.35,≥ 90,,,,,,,,,
,,,SC16M-1S31,270567111,1.5,6.35,≥ 150,,,,,,,,,
,,,SC16ML-1D70,270567100,0.8,6.35,≥ 90,,,,,,,,,cosse -50 pieces
,,,SC16ML-1D70,270567100,1.5,6.35,≥ 150,,,,,,,,,
,,,SM16M-1S31,270567081,0.8,6.35,≥ 90,,,,,,,,,
,,,SM16M-1S31,270567081,1.5,6.35,≥ 150,,,,,,,,,
,,,SM16ML-1D70,270567080,0.8,6.35,≥ 90,,,,,,,,,
,,,SM16ML-1D70,270567080,1.5,6.35,≥ 150,,,,,,,,,
,,,SC14M1TK6,270612180,2,6.35,≥200,,,,,,,,,cosse -50 pieces
,,,SC14M1TK6,270612660,2,6.35,,,,,,,,,,
P25,DEUTSCH,HDT-48-00,0462-203-12141,270567075,3.00,"5,64 à 7,21 ",≥ 334,,,,,,,,,
,,,0462-203-12141,270567075,"2 - 2,5","5,64 à 7,21 ",≥ 311,,,,,,,,,
,,,0460-204-12141,270567078,3.00,"5,64 à 7,21 ",≥ 334,,,,,,,,,
,,,0460-204-12141,270567078,"2 - 2,5","5,64 à 7,21 ",≥ 311,,,,,,,,,
,,,0462-201-16141,270567026,1.5,"6,35 à 7,92",≥ 156,,,,,,,,,manque cosse
,,,0462-201-16141,270567026,1,"6,35 à 7,92",≥ 108,,,,,,,,,
,,,0462-201-16141,270567026,0.75,"6,35 à 7,92",≥ 85,,,,,,,,,
,,,0462-201-16141,270567026,0.5,"6,35 à 7,92",≥ 60,,,,,,,,,
,,,0460-202-16141,270567069,1.5,"6,35 à 7,92",≥ 156,,,,,,,,,cosse -50 pieces
,,,0460-202-16141,270567069,1,"6,35 à 7,92",≥ 108,,,,,,,,,
,,,0460-202-16141,270567069,0.75,"6,35 à 7,92",≥ 111,,,,,,,,,
,,,0460-202-16141,270567069,0.5,"6,35 à 7,92",≥ 60,,,,,,,,,
,,,0462-209-16141,270600850,2,"6,35 à 7,92",≥ 311,,,,,,,,,
,,,0460-215-16141,270606300,2,"6,35 à 7,92",≥ 311,,,,,,,,,
,,,0462-201-20141,270610710,0.5,"3,96 à 5,54",≥ 89,,,,,,,,,270610710 cosse manquer
,,,0460-202-20141,270640000,0.5,"3,96 à 5,54",≥ 89,,,,,,,,,
P27,,539 737-2/A,61-0897-139,270567610,0.5,8.2,≥60,,,,,,,,,
,,,61-0892-139,270599170,0.5,8.2,,,,,,,,,,
,,,61-0898-139,270567620,0.75,8.2,≥85,,,,,,,,,
,,,61-0898-139,270567620,1,8.2,≥108,,,,,,,,,
,,,61-0893-139,270608480,0.75,8.2,≥75,,,,,,,,,
,,,61-0893-139,270608480,1,8.2,≥108,,,,,,,,,
,,,61-0899-139,270599130,1.5,8.2,≥150,,,,,,,,,
,,,61-0894-139,270599160,1.5,8.2,,,,,,,,,,cosse -50 pieces
,,,61-0900-139,270608150,2.5,8,≥230,,,,,,,,,manque cosse
,,,61-0902-139,270608130,2.5,8,,,,,,,,,,
P28+P29,DELPHI,91592-1,4250000872,270567042,0.5,4.5,≥ 60,160,93,91,89,41,4/14/2025,,,
,,,4250000872,270567042,0.5,4.5,,120,115,120,124,113,,,,
,,,4250000872,270567042,0.8,4.5,≥ 85,111,132,134,125,140,,,,
